# frame_idx  time_s  arc_m
567 2.922680 0.49462676
568 2.927835 0.49493514
569 2.932990 0.49450456
570 2.938144 0.49480308
571 2.943299 0.49453188
572 2.948454 0.49398748
573 2.953608 0.49436427
574 2.958763 0.49397780
575 2.963918 0.49384854
576 2.969072 0.49350143
577 2.974227 0.49368672
578 2.979381 0.49356772
579 2.984536 0.49364103
580 2.989691 0.49398075
581 2.994845 0.49393401
582 3.000000 0.49366222
583 3.005155 0.49433558
584 3.010309 0.49446531
585 3.015464 0.49479766
586 3.020619 0.49461982
587 3.025773 0.49478000
588 3.030928 0.49463219
589 3.036082 0.49502425
590 3.041237 0.49537474
591 3.046392 0.49550575
592 3.051546 0.49572017
593 3.056701 0.49606451
594 3.061856 0.49573784
595 3.067010 0.49620341
596 3.072165 0.49603398
597 3.077320 0.49677077
598 3.082474 0.49618639
599 3.087629 0.49607279
600 3.092784 0.49682399
601 3.097938 0.49709990
602 3.103093 0.49703935
603 3.108247 0.49650978
604 3.113402 0.49622324
605 3.118557 0.49638095
606 3.123711 0.49654157
607 3.128866 0.49626738
608 3.134021 0.49653257
609 3.139175 0.49611516
610 3.144330 0.49677573
611 3.149485 0.49652426
612 3.154639 0.49616033
613 3.159794 0.49621632
614 3.164948 0.49624755
615 3.170103 0.49590943
616 3.175258 0.49619366
617 3.180412 0.49642511
618 3.185567 0.49621650
619 3.190722 0.49640121
620 3.195876 0.49567468
621 3.201031 0.49601943
622 3.206186 0.49629588
623 3.211340 0.49565929
624 3.216495 0.49553369
625 3.221649 0.49510666
626 3.226804 0.49558836
627 3.231959 0.49490058
628 3.237113 0.49507491
629 3.242268 0.49531189
630 3.247423 0.49472846
631 3.252577 0.49492806
632 3.257732 0.49509896
633 3.262887 0.49569620
634 3.268041 0.49585402
635 3.273196 0.49621828
636 3.278351 0.49618324
637 3.283505 0.49675067
638 3.288660 0.49710916
639 3.293814 0.49761377
640 3.298969 0.49779474
641 3.304124 0.49862998
642 3.309278 0.49935898
643 3.314433 0.50047280
644 3.319588 0.50085811
645 3.324742 0.50101245
646 3.329897 0.50086978
647 3.335052 0.50023564
648 3.340206 0.50031036
649 3.345361 0.50028992
650 3.350515 0.50122395
651 3.355670 0.50191177
652 3.360825 0.50215687
653 3.365979 0.50341931
654 3.371134 0.50319429
655 3.376289 0.50217117
656 3.381443 0.50188217
657 3.386598 0.50282165
658 3.391753 0.50261567
659 3.396907 0.50280603
660 3.402062 0.50313842
661 3.407216 0.50291897
662 3.412371 0.50325480
663 3.417526 0.50359708
664 3.422680 0.50385346
665 3.427835 0.50427141
666 3.432990 0.50441792
667 3.438144 0.50413378
668 3.443299 0.50466176
669 3.448454 0.50438008
670 3.453608 0.50418756
671 3.458763 0.50407544
672 3.463918 0.50409519
673 3.469072 0.50402248
674 3.474227 0.50453536
675 3.479381 0.50452781
676 3.484536 0.50462555
677 3.489691 0.50478007
678 3.494845 0.50537324
679 3.500000 0.50558308
680 3.505155 0.50543172
681 3.510309 0.50550060
682 3.515464 0.50486296
683 3.520619 0.50499486
684 3.525773 0.50428948
685 3.530928 0.50474147
686 3.536082 0.50480605
687 3.541237 0.50486001
688 3.546392 0.50492627
689 3.551546 0.50445692
690 3.556701 0.50517357
691 3.561856 0.50512673
692 3.567010 0.50536430
693 3.572165 0.50498705
694 3.577320 0.50499136
695 3.582474 0.50560208
696 3.587629 0.50478887
697 3.592784 0.50488958
698 3.597938 0.50468449
699 3.603093 0.50504750
700 3.608247 0.50517517
701 3.613402 0.50495522
702 3.618557 0.50470339
703 3.623711 0.50496178
704 3.628866 0.50456895
705 3.634021 0.50445521
706 3.639175 0.50425758
707 3.644330 0.50417124
708 3.649485 0.50392108
709 3.654639 0.50362235
710 3.659794 0.50368296
711 3.664948 0.50340713
712 3.670103 0.50325990
713 3.675258 0.50334861
714 3.680412 0.50300391
715 3.685567 0.50315188
716 3.690722 0.50307407
717 3.695876 0.50275908
718 3.701031 0.50257701
719 3.706186 0.50257776
720 3.711340 0.50255903
721 3.716495 0.50256943
722 3.721649 0.50242794
723 3.726804 0.50204233
724 3.731959 0.50241379
725 3.737113 0.50296769
726 3.742268 0.50249796
727 3.747423 0.50288438
728 3.752577 0.50324552
729 3.757732 0.50307353
730 3.762887 0.50366955
731 3.768041 0.50368087
732 3.773196 0.50403395
733 3.778351 0.50383678
734 3.783505 0.50386546
735 3.788660 0.50446387
736 3.793814 0.50467081
737 3.798969 0.50476398
738 3.804124 0.50453472
739 3.809278 0.50467661
740 3.814433 0.50478203
741 3.819588 0.50490607
742 3.824742 0.50443869
743 3.829897 0.50458096
744 3.835052 0.50427143
745 3.840206 0.50474058
746 3.845361 0.50480979
747 3.850515 0.50526297
748 3.855670 0.50537189
749 3.860825 0.50557891
750 3.865979 0.50493240
751 3.871134 0.50456340
752 3.876289 0.50511141
753 3.881443 0.50503679
754 3.886598 0.50459515
755 3.891753 0.50414317
756 3.896907 0.50435478
757 3.902062 0.50440824
758 3.907216 0.50455073
759 3.912371 0.50472540
760 3.917526 0.50409539
761 3.922680 0.50377175
762 3.927835 0.50366182
763 3.932990 0.50296791
764 3.938144 0.50271157
765 3.943299 0.50273557
766 3.948454 0.50239251
767 3.953608 0.50198305
768 3.958763 0.50190128
769 3.963918 0.50233195
770 3.969072 0.50253213
771 3.974227 0.50161193
772 3.979381 0.50153023
773 3.984536 0.50202959
774 3.989691 0.50182991
775 3.994845 0.50221808
776 4.000000 0.50142884
777 4.005155 0.50081492
778 4.010309 0.50043824
779 4.015464 0.50039713
780 4.020619 0.49992988
781 4.025773 0.49951034
782 4.030928 0.49895020
783 4.036082 0.49892169
784 4.041237 0.49839867
785 4.046392 0.49770507
786 4.051546 0.49778315
787 4.056701 0.49765883
788 4.061856 0.49749945
789 4.067010 0.49718285
790 4.072165 0.49705860
791 4.077320 0.49644768
792 4.082474 0.49648525
793 4.087629 0.49675181
794 4.092784 0.49636792
795 4.097938 0.49561241
796 4.103093 0.49607564
797 4.108247 0.49583180
798 4.113402 0.49507127
